销售日期,单品编码,销量(千克)
2020-07-01,102900011032848,0.0
2020-08-01,102900011032848,0.0
2020-09-01,102900011032848,0.0
2020-10-01,102900011032848,0.0
2020-11-01,102900011032848,0.0
2020-12-01,102900011032848,0.0
2021-01-01,102900011032848,0.0
2021-02-01,102900011032848,0.0
2021-03-01,102900011032848,0.0
2021-04-01,102900011032848,0.0
2021-05-01,102900011032848,0.0
2021-06-01,102900011032848,0.0
2021-07-01,102900011032848,0.0
2021-08-01,102900011032848,0.0
2021-09-01,102900011032848,0.0
2021-10-01,102900011032848,0.0
2021-11-01,102900011032848,0.0
2021-12-01,102900011032848,0.0
2022-01-01,102900011032848,0.0
2022-02-01,102900011032848,0.0
2022-03-01,102900011032848,38.0
2022-04-01,102900011032848,68.0
2022-05-01,102900011032848,0.0
2022-06-01,102900011032848,0.0
2022-07-01,102900011032848,51.0
2022-08-01,102900011032848,131.0
2022-09-01,102900011032848,131.0
2022-10-01,102900011032848,193.0
2022-11-01,102900011032848,139.0
2022-12-01,102900011032848,164.0
2023-01-01,102900011032848,114.0
2023-02-01,102900011032848,79.0
2023-03-01,102900011032848,132.0
2023-04-01,102900011032848,166.0
2023-05-01,102900011032848,232.0
2023-06-01,102900011032848,230.0
