销售日期,单品编码,销量(千克)
2020-07-01,102900005116943,59.678
2020-08-01,102900005116943,45.711
2020-09-01,102900005116943,38.441
2020-10-01,102900005116943,39.537
2020-11-01,102900005116943,26.255
2020-12-01,102900005116943,16.776
2021-01-01,102900005116943,31.697
2021-02-01,102900005116943,84.94500000000001
2021-03-01,102900005116943,33.404
2021-04-01,102900005116943,29.366
2021-05-01,102900005116943,26.092
2021-06-01,102900005116943,34.235
2021-07-01,102900005116943,24.176
2021-08-01,102900005116943,37.884
2021-09-01,102900005116943,27.366
2021-10-01,102900005116943,14.589
2021-11-01,102900005116943,0.94
2021-12-01,102900005116943,10.43
2022-01-01,102900005116943,33.541
2022-02-01,102900005116943,30.138
2022-03-01,102900005116943,6.263
2022-04-01,102900005116943,0.0
2022-05-01,102900005116943,0.0
2022-06-01,102900005116943,0.03
2022-07-01,102900005116943,4.796
2022-08-01,102900005116943,0.0
2022-09-01,102900005116943,0.0
2022-10-01,102900005116943,0.0
2022-11-01,102900005116943,0.0
2022-12-01,102900005116943,0.0
2023-01-01,102900005116943,0.0
2023-02-01,102900005116943,2.664
2023-03-01,102900005116943,0.207
2023-04-01,102900005116943,0.0
2023-05-01,102900005116943,0.0
2023-06-01,102900005116943,0.0
