销售日期,单品编码,销量(千克)
2020-07-01,102900011000328,489.161
2020-08-01,102900011000328,393.622
2020-09-01,102900011000328,227.622
2020-10-01,102900011000328,168.422
2020-11-01,102900011000328,105.901
2020-12-01,102900011000328,105.539
2021-01-01,102900011000328,133.139
2021-02-01,102900011000328,377.257
2021-03-01,102900011000328,486.953
2021-04-01,102900011000328,320.185
2021-05-01,102900011000328,422.166
2021-06-01,102900011000328,447.576
2021-07-01,102900011000328,289.786
2021-08-01,102900011000328,190.035
2021-09-01,102900011000328,159.851
2021-10-01,102900011000328,153.546
2021-11-01,102900011000328,79.511
2021-12-01,102900011000328,169.651
2022-01-01,102900011000328,309.196
2022-02-01,102900011000328,202.468
2022-03-01,102900011000328,205.529
2022-04-01,102900011000328,272.621
2022-05-01,102900011000328,512.146
2022-06-01,102900011000328,433.052
2022-07-01,102900011000328,154.089
2022-08-01,102900011000328,53.298
2022-09-01,102900011000328,0.0
2022-10-01,102900011000328,0.134
2022-11-01,102900011000328,6.663
2022-12-01,102900011000328,16.822
2023-01-01,102900011000328,237.265
2023-02-01,102900011000328,51.934
2023-03-01,102900011000328,8.347
2023-04-01,102900011000328,29.734
2023-05-01,102900011000328,323.585
2023-06-01,102900011000328,258.093
