销售日期,单品编码,销量(千克)
2020-07-01,102900011034439,0.0
2020-08-01,102900011034439,0.0
2020-09-01,102900011034439,0.0
2020-10-01,102900011034439,0.0
2020-11-01,102900011034439,0.0
2020-12-01,102900011034439,0.0
2021-01-01,102900011034439,0.0
2021-02-01,102900011034439,0.0
2021-03-01,102900011034439,0.0
2021-04-01,102900011034439,0.0
2021-05-01,102900011034439,0.0
2021-06-01,102900011034439,0.0
2021-07-01,102900011034439,0.0
2021-08-01,102900011034439,0.0
2021-09-01,102900011034439,0.0
2021-10-01,102900011034439,0.0
2021-11-01,102900011034439,0.0
2021-12-01,102900011034439,0.0
2022-01-01,102900011034439,0.0
2022-02-01,102900011034439,0.0
2022-03-01,102900011034439,0.0
2022-04-01,102900011034439,0.0
2022-05-01,102900011034439,0.0
2022-06-01,102900011034439,0.0
2022-07-01,102900011034439,2.0
2022-08-01,102900011034439,239.0
2022-09-01,102900011034439,131.0
2022-10-01,102900011034439,152.0
2022-11-01,102900011034439,63.0
2022-12-01,102900011034439,20.0
2023-01-01,102900011034439,87.0
2023-02-01,102900011034439,136.0
2023-03-01,102900011034439,162.0
2023-04-01,102900011034439,135.0
2023-05-01,102900011034439,69.0
2023-06-01,102900011034439,62.0
