销售日期,单品编码,销量(千克)
2020-07-01,102900011001806,64.0
2020-08-01,102900011001806,61.0
2020-09-01,102900011001806,98.0
2020-10-01,102900011001806,123.0
2020-11-01,102900011001806,112.0
2020-12-01,102900011001806,92.0
2021-01-01,102900011001806,110.0
2021-02-01,102900011001806,54.0
2021-03-01,102900011001806,41.0
2021-04-01,102900011001806,44.0
2021-05-01,102900011001806,17.0
2021-06-01,102900011001806,32.0
2021-07-01,102900011001806,25.0
2021-08-01,102900011001806,95.0
2021-09-01,102900011001806,60.0
2021-10-01,102900011001806,5.0
2021-11-01,102900011001806,0.0
2021-12-01,102900011001806,1.0
2022-01-01,102900011001806,7.0
2022-02-01,102900011001806,14.0
2022-03-01,102900011001806,0.0
2022-04-01,102900011001806,0.0
2022-05-01,102900011001806,0.0
2022-06-01,102900011001806,0.0
2022-07-01,102900011001806,6.0
2022-08-01,102900011001806,11.0
2022-09-01,102900011001806,0.0
2022-10-01,102900011001806,0.0
2022-11-01,102900011001806,0.0
2022-12-01,102900011001806,0.0
2023-01-01,102900011001806,1.0
2023-02-01,102900011001806,0.0
2023-03-01,102900011001806,0.0
2023-04-01,102900011001806,0.0
2023-05-01,102900011001806,0.0
2023-06-01,102900011001806,0.0
