销售日期,单品编码,销量(千克)
2020-07-01,102900005116837,0.424
2020-08-01,102900005116837,0.0
2020-09-01,102900005116837,64.812
2020-10-01,102900005116837,196.757
2020-11-01,102900005116837,295.889
2020-12-01,102900005116837,386.469
2021-01-01,102900005116837,309.738
2021-02-01,102900005116837,290.691
2021-03-01,102900005116837,173.871
2021-04-01,102900005116837,96.617
2021-05-01,102900005116837,42.304
2021-06-01,102900005116837,13.828
2021-07-01,102900005116837,0.0
2021-08-01,102900005116837,0.0
2021-09-01,102900005116837,0.0
2021-10-01,102900005116837,0.0
2021-11-01,102900005116837,116.685
2021-12-01,102900005116837,234.589
2022-01-01,102900005116837,257.914
2022-02-01,102900005116837,37.913
2022-03-01,102900005116837,0.0
2022-04-01,102900005116837,23.777
2022-05-01,102900005116837,0.181
2022-06-01,102900005116837,0.0
2022-07-01,102900005116837,0.0
2022-08-01,102900005116837,0.0
2022-09-01,102900005116837,0.0
2022-10-01,102900005116837,0.0
2022-11-01,102900005116837,0.0
2022-12-01,102900005116837,0.513
2023-01-01,102900005116837,0.0
2023-02-01,102900005116837,0.518
2023-03-01,102900005116837,0.0
2023-04-01,102900005116837,0.0
2023-05-01,102900005116837,0.0
2023-06-01,102900005116837,0.0
