销售日期,单品编码,销量(千克)
2020-07-01,102900005125815,394.026
2020-08-01,102900005125815,353.231
2020-09-01,102900005125815,221.127
2020-10-01,102900005125815,129.318
2020-11-01,102900005125815,80.489
2020-12-01,102900005125815,83.676
2021-01-01,102900005125815,107.527
2021-02-01,102900005125815,149.253
2021-03-01,102900005125815,88.682
2021-04-01,102900005125815,78.247
2021-05-01,102900005125815,109.157
2021-06-01,102900005125815,101.819
2021-07-01,102900005125815,123.009
2021-08-01,102900005125815,223.878
2021-09-01,102900005125815,156.543
2021-10-01,102900005125815,0.532
2021-11-01,102900005125815,0.0
2021-12-01,102900005125815,0.0
2022-01-01,102900005125815,0.0
2022-02-01,102900005125815,0.0
2022-03-01,102900005125815,0.0
2022-04-01,102900005125815,0.0
2022-05-01,102900005125815,0.0
2022-06-01,102900005125815,0.0
2022-07-01,102900005125815,0.0
2022-08-01,102900005125815,0.0
2022-09-01,102900005125815,0.0
2022-10-01,102900005125815,0.0
2022-11-01,102900005125815,0.645
2022-12-01,102900005125815,0.0
2023-01-01,102900005125815,0.0
2023-02-01,102900005125815,0.0
2023-03-01,102900005125815,2.508
2023-04-01,102900005125815,0.0
2023-05-01,102900005125815,1.631
2023-06-01,102900005125815,0.0
