销售日期,单品编码,销量(千克)
2020-07-01,102900011012994,0.0
2020-08-01,102900011012994,15.0
2020-09-01,102900011012994,11.0
2020-10-01,102900011012994,348.0
2020-11-01,102900011012994,133.0
2020-12-01,102900011012994,86.0
2021-01-01,102900011012994,125.0
2021-02-01,102900011012994,107.0
2021-03-01,102900011012994,75.0
2021-04-01,102900011012994,55.0
2021-05-01,102900011012994,65.0
2021-06-01,102900011012994,23.0
2021-07-01,102900011012994,41.0
2021-08-01,102900011012994,54.0
2021-09-01,102900011012994,30.0
2021-10-01,102900011012994,0.0
2021-11-01,102900011012994,0.0
2021-12-01,102900011012994,0.0
2022-01-01,102900011012994,66.0
2022-02-01,102900011012994,50.0
2022-03-01,102900011012994,0.0
2022-04-01,102900011012994,0.0
2022-05-01,102900011012994,0.0
2022-06-01,102900011012994,0.0
2022-07-01,102900011012994,0.0
2022-08-01,102900011012994,0.0
2022-09-01,102900011012994,0.0
2022-10-01,102900011012994,0.0
2022-11-01,102900011012994,0.0
2022-12-01,102900011012994,0.0
2023-01-01,102900011012994,51.0
2023-02-01,102900011012994,8.0
2023-03-01,102900011012994,0.0
2023-04-01,102900011012994,0.0
2023-05-01,102900011012994,0.0
2023-06-01,102900011012994,0.0
