销售日期,单品编码,销量(千克)
2020-07-01,102900011013274,0.0
2020-08-01,102900011013274,36.0
2020-09-01,102900011013274,82.0
2020-10-01,102900011013274,149.0
2020-11-01,102900011013274,284.0
2020-12-01,102900011013274,182.0
2021-01-01,102900011013274,184.0
2021-02-01,102900011013274,239.0
2021-03-01,102900011013274,130.0
2021-04-01,102900011013274,96.0
2021-05-01,102900011013274,52.0
2021-06-01,102900011013274,78.0
2021-07-01,102900011013274,73.0
2021-08-01,102900011013274,101.0
2021-09-01,102900011013274,91.0
2021-10-01,102900011013274,1.0
2021-11-01,102900011013274,0.0
2021-12-01,102900011013274,0.0
2022-01-01,102900011013274,5.0
2022-02-01,102900011013274,2.0
2022-03-01,102900011013274,49.0
2022-04-01,102900011013274,51.0
2022-05-01,102900011013274,23.0
2022-06-01,102900011013274,31.0
2022-07-01,102900011013274,92.0
2022-08-01,102900011013274,37.0
2022-09-01,102900011013274,64.0
2022-10-01,102900011013274,94.0
2022-11-01,102900011013274,62.0
2022-12-01,102900011013274,87.0
2023-01-01,102900011013274,163.0
2023-02-01,102900011013274,141.0
2023-03-01,102900011013274,118.0
2023-04-01,102900011013274,84.0
2023-05-01,102900011013274,30.0
2023-06-01,102900011013274,16.0
