销售日期,单品编码,销量(千克)
2020-07-01,102900005115250,0.0
2020-08-01,102900005115250,0.0
2020-09-01,102900005115250,1.666
2020-10-01,102900005115250,0.0
2020-11-01,102900005115250,163.681
2020-12-01,102900005115250,0.5650000000000001
2021-01-01,102900005115250,202.459
2021-02-01,102900005115250,740.495
2021-03-01,102900005115250,26.39
2021-04-01,102900005115250,0.0
2021-05-01,102900005115250,0.0
2021-06-01,102900005115250,0.0
2021-07-01,102900005115250,0.0
2021-08-01,102900005115250,0.0
2021-09-01,102900005115250,0.0
2021-10-01,102900005115250,0.0
2021-11-01,102900005115250,0.0
2021-12-01,102900005115250,0.0
2022-01-01,102900005115250,0.0
2022-02-01,102900005115250,0.0
2022-03-01,102900005115250,197.591
2022-04-01,102900005115250,212.989
2022-05-01,102900005115250,251.511
2022-06-01,102900005115250,156.209
2022-07-01,102900005115250,0.273
2022-08-01,102900005115250,0.0
2022-09-01,102900005115250,97.043
2022-10-01,102900005115250,0.576
2022-11-01,102900005115250,0.377
2022-12-01,102900005115250,1.4
2023-01-01,102900005115250,0.081
2023-02-01,102900005115250,0.186
2023-03-01,102900005115250,237.975
2023-04-01,102900005115250,223.664
2023-05-01,102900005115250,144.781
2023-06-01,102900005115250,153.803
