销售日期,单品编码,销量(千克)
2020-07-01,102900005116547,475.794
2020-08-01,102900005116547,394.33
2020-09-01,102900005116547,315.389
2020-10-01,102900005116547,507.039
2020-11-01,102900005116547,398.345
2020-12-01,102900005116547,325.795
2021-01-01,102900005116547,315.649
2021-02-01,102900005116547,443.068
2021-03-01,102900005116547,229.382
2021-04-01,102900005116547,248.861
2021-05-01,102900005116547,186.853
2021-06-01,102900005116547,166.378
2021-07-01,102900005116547,207.283
2021-08-01,102900005116547,197.715
2021-09-01,102900005116547,175.589
2021-10-01,102900005116547,0.151
2021-11-01,102900005116547,0.0
2021-12-01,102900005116547,0.0
2022-01-01,102900005116547,0.426
2022-02-01,102900005116547,0.0
2022-03-01,102900005116547,0.0
2022-04-01,102900005116547,0.0
2022-05-01,102900005116547,0.0
2022-06-01,102900005116547,0.0
2022-07-01,102900005116547,0.0
2022-08-01,102900005116547,0.0
2022-09-01,102900005116547,0.0
2022-10-01,102900005116547,0.0
2022-11-01,102900005116547,9.986
2022-12-01,102900005116547,0.0
2023-01-01,102900005116547,84.15
2023-02-01,102900005116547,17.717
2023-03-01,102900005116547,0.0
2023-04-01,102900005116547,0.0
2023-05-01,102900005116547,0.0
2023-06-01,102900005116547,0.0
