销售日期,大类编码,销量(千克)
2020-07-01,1011010402,4.85
2020-07-02,1011010402,4.6
2020-07-03,1011010402,9.572
2020-07-04,1011010402,5.439
2020-07-05,1011010402,4.019
2020-07-06,1011010402,3.089
2020-07-07,1011010402,3.117
2020-07-08,1011010402,10.605
2020-07-09,1011010402,2.106
2020-07-10,1011010402,9.025
2020-07-11,1011010402,8.928
2020-07-12,1011010402,13.994
2020-07-13,1011010402,11.605
2020-07-14,1011010402,9.007
2020-07-15,1011010402,10.238
2020-07-16,1011010402,11.354
2020-07-17,1011010402,10.727
2020-07-18,1011010402,10.418
2020-07-19,1011010402,11.124
2020-07-20,1011010402,9.548
2020-07-21,1011010402,12.744
2020-07-22,1011010402,11.05
2020-07-23,1011010402,30.417
2020-07-24,1011010402,11.739999999999998
2020-07-25,1011010402,10.424
2020-07-26,1011010402,12.988
2020-07-27,1011010402,17.265
2020-07-28,1011010402,13.959
2020-07-29,1011010402,18.597
2020-07-30,1011010402,10.645
2020-07-31,1011010402,19.062
2020-08-01,1011010402,21.432
2020-08-02,1011010402,56.154
2020-08-03,1011010402,15.555
2020-08-04,1011010402,26.208
2020-08-05,1011010402,21.452
2020-08-06,1011010402,19.115
2020-08-07,1011010402,25.415
2020-08-08,1011010402,27.461
2020-08-09,1011010402,25.9
2020-08-10,1011010402,30.683
2020-08-11,1011010402,20.458
2020-08-12,1011010402,27.355
2020-08-13,1011010402,19.324
2020-08-14,1011010402,29.991
2020-08-15,1011010402,25.642
2020-08-16,1011010402,24.454
2020-08-17,1011010402,15.916
2020-08-18,1011010402,21.753
2020-08-19,1011010402,17.95
2020-08-20,1011010402,22.966
2020-08-21,1011010402,34.598
2020-08-22,1011010402,42.772
2020-08-23,1011010402,46.057
2020-08-24,1011010402,20.305
2020-08-25,1011010402,20.062
2020-08-26,1011010402,18.95
2020-08-27,1011010402,19.487
2020-08-28,1011010402,20.997
2020-08-29,1011010402,65.814
2020-08-30,1011010402,30.005000000000003
2020-08-31,1011010402,52.949
2020-09-01,1011010402,47.658
2020-09-02,1011010402,17.941
2020-09-03,1011010402,15.996
2020-09-04,1011010402,16.634999999999998
2020-09-05,1011010402,42.554
2020-09-06,1011010402,46.963
2020-09-07,1011010402,38.926
2020-09-08,1011010402,19.127
2020-09-09,1011010402,12.161
2020-09-10,1011010402,14.492
2020-09-11,1011010402,13.364
2020-09-12,1011010402,16.957
2020-09-13,1011010402,18.739
2020-09-14,1011010402,17.360999999999997
2020-09-15,1011010402,19.219
2020-09-16,1011010402,18.818
2020-09-17,1011010402,17.437
2020-09-18,1011010402,11.389
