销售日期,大类编码,销量(千克)
2020-07-01,1011010101,205.402
2020-07-02,1011010101,198.362
2020-07-03,1011010101,191.779
2020-07-04,1011010101,236.587
2020-07-05,1011010101,223.899
2020-07-06,1011010101,195.74
2020-07-07,1011010101,175.052
2020-07-08,1011010101,158.57
2020-07-09,1011010101,187.439
2020-07-10,1011010101,179.833
2020-07-11,1011010101,271.12
2020-07-12,1011010101,300.189
2020-07-13,1011010101,190.832
2020-07-14,1011010101,190.599
2020-07-15,1011010101,218.094
2020-07-16,1011010101,215.526
2020-07-17,1011010101,201.67
2020-07-18,1011010101,275.265
2020-07-19,1011010101,321.164
2020-07-20,1011010101,204.997
2020-07-21,1011010101,214.99
2020-07-22,1011010101,232.783
2020-07-23,1011010101,200.441
2020-07-24,1011010101,176.325
2020-07-25,1011010101,227.137
2020-07-26,1011010101,250.825
2020-07-27,1011010101,198.009
2020-07-28,1011010101,165.443
2020-07-29,1011010101,193.729
2020-07-30,1011010101,201.743
2020-07-31,1011010101,197.166
2020-08-01,1011010101,229.89
2020-08-02,1011010101,243.138
2020-08-03,1011010101,207.843
2020-08-04,1011010101,180.012
2020-08-05,1011010101,244.395
2020-08-06,1011010101,234.777
2020-08-07,1011010101,204.941
2020-08-08,1011010101,311.161
2020-08-09,1011010101,250.59
2020-08-10,1011010101,210.292
2020-08-11,1011010101,216.713
2020-08-12,1011010101,206.877
2020-08-13,1011010101,188.208
2020-08-14,1011010101,217.758
2020-08-15,1011010101,245.136
2020-08-16,1011010101,241.48
2020-08-17,1011010101,215.633
2020-08-18,1011010101,225.113
2020-08-19,1011010101,214.173
2020-08-20,1011010101,233.532
2020-08-21,1011010101,207.076
2020-08-22,1011010101,273.081
2020-08-23,1011010101,261.552
2020-08-24,1011010101,260.694
2020-08-25,1011010101,343.427
2020-08-26,1011010101,241.686
2020-08-27,1011010101,199.007
2020-08-28,1011010101,195.032
2020-08-29,1011010101,267.031
2020-08-30,1011010101,266.387
2020-08-31,1011010101,224.882
2020-09-01,1011010101,191.655
2020-09-02,1011010101,179.819
2020-09-03,1011010101,193.463
2020-09-04,1011010101,176.316
2020-09-05,1011010101,249.559
2020-09-06,1011010101,276.111
2020-09-07,1011010101,148.221
2020-09-08,1011010101,158.329
2020-09-09,1011010101,131.492
2020-09-10,1011010101,119.919
2020-09-11,1011010101,151.957
2020-09-12,1011010101,231.884
2020-09-13,1011010101,263.345
2020-09-14,1011010101,175.844
2020-09-15,1011010101,156.048
2020-09-16,1011010101,176.949
2020-09-17,1011010101,143.534
2020-09-18,1011010101,154.388
2020-09-19,1011010101,235.874
2020-09-20,1011010101,317.998
2020-09-21,1011010101,212.997
2020-09-22,1011010101,232.243
2020-09-23,1011010101,179.262
2020-09-24,1011010101,162.861
2020-09-25,1011010101,173.781
2020-09-26,1011010101,227.771
2020-09-27,1011010101,199.813
2020-09-28,1011010101,114.933
2020-09-29,1011010101,157.957
2020-09-30,1011010101,177.12900000000002
2020-10-01,1011010101,248.415
2020-10-02,1011010101,244.124
2020-10-03,1011010101,298.341
2020-10-04,1011010101,232.776
2020-10-05,1011010101,294.623
2020-10-06,1011010101,287.297
2020-10-07,1011010101,255.378
2020-10-08,1011010101,252.73
2020-10-09,1011010101,162.518
2020-10-10,1011010101,175.163
2020-10-11,1011010101,238.081
2020-10-12,1011010101,170.21200000000002
2020-10-13,1011010101,178.246
2020-10-14,1011010101,182.96
2020-10-15,1011010101,190.238
2020-10-16,1011010101,170.77
2020-10-17,1011010101,249.493
2020-10-18,1011010101,226.735
2020-10-19,1011010101,152.709
2020-10-20,1011010101,186.078
2020-10-21,1011010101,168.765
2020-10-22,1011010101,117.235
2020-10-23,1011010101,211.914
2020-10-24,1011010101,282.107
2020-10-25,1011010101,223.397
2020-10-26,1011010101,157.832
2020-10-27,1011010101,154.566
2020-10-28,1011010101,167.542
2020-10-29,1011010101,120.551
2020-10-30,1011010101,148.243
2020-10-31,1011010101,248.102
2020-11-01,1011010101,206.956
2020-11-02,1011010101,144.442
2020-11-03,1011010101,135.067
2020-11-04,1011010101,122.114
2020-11-05,1011010101,146.327
2020-11-06,1011010101,142.586
2020-11-07,1011010101,224.3
2020-11-08,1011010101,209.808
2020-11-09,1011010101,144.911
2020-11-10,1011010101,157.962
2020-11-11,1011010101,150.867
2020-11-12,1011010101,151.144
2020-11-13,1011010101,141.977
2020-11-14,1011010101,207.145
2020-11-15,1011010101,227.231
2020-11-16,1011010101,140.087
2020-11-17,1011010101,222.517
2020-11-18,1011010101,203.322
2020-11-19,1011010101,207.8
2020-11-20,1011010101,244.555
2020-11-21,1011010101,460.646
2020-11-22,1011010101,371.968
2020-11-23,1011010101,294.311
2020-11-24,1011010101,220.189
2020-11-25,1011010101,237.713
2020-11-26,1011010101,282.923
2020-11-27,1011010101,225.596
2020-11-28,1011010101,400.295
2020-11-29,1011010101,287.707
2020-11-30,1011010101,207.353
2020-12-01,1011010101,287.797
2020-12-02,1011010101,213.665
2020-12-03,1011010101,274.09700000000004
2020-12-04,1011010101,242.529
2020-12-05,1011010101,306.959
2020-12-06,1011010101,367.129
2020-12-07,1011010101,197.718
2020-12-08,1011010101,183.98
2020-12-09,1011010101,180.673
2020-12-10,1011010101,188.539
2020-12-11,1011010101,212.51
2020-12-12,1011010101,269.619
2020-12-13,1011010101,375.781
2020-12-14,1011010101,197.654
2020-12-15,1011010101,203.808
2020-12-16,1011010101,152.029
2020-12-17,1011010101,167.799
2020-12-18,1011010101,151.08
2020-12-19,1011010101,266.55
2020-12-20,1011010101,276.911
2020-12-21,1011010101,136.041
2020-12-22,1011010101,152.185
2020-12-23,1011010101,143.966
2020-12-24,1011010101,218.533
2020-12-25,1011010101,159.654
2020-12-26,1011010101,285.224
2020-12-27,1011010101,288.755
2020-12-28,1011010101,251.455
2020-12-29,1011010101,223.512
2020-12-30,1011010101,146.39
2020-12-31,1011010101,179.177
2021-01-01,1011010101,224.797
2021-01-02,1011010101,212.911
2021-01-03,1011010101,224.88
2021-01-04,1011010101,177.80100000000002
2021-01-05,1011010101,154.654
2021-01-06,1011010101,176.82399999999998
2021-01-07,1011010101,161.628
2021-01-08,1011010101,234.462
2021-01-09,1011010101,233.427
2021-01-10,1011010101,250.645
2021-01-11,1011010101,182.204
2021-01-12,1011010101,173.449
2021-01-13,1011010101,172.101
2021-01-14,1011010101,148.947
2021-01-15,1011010101,171.213
2021-01-16,1011010101,252.825
2021-01-17,1011010101,228.991
2021-01-18,1011010101,167.11899999999997
2021-01-19,1011010101,216.055
2021-01-20,1011010101,197.824
2021-01-21,1011010101,219.93
2021-01-22,1011010101,218.136
2021-01-23,1011010101,214.81500000000003
2021-01-24,1011010101,350.342
2021-01-25,1011010101,224.149
2021-01-26,1011010101,215.643
2021-01-27,1011010101,208.029
2021-01-28,1011010101,160.384
2021-01-29,1011010101,151.96200000000002
2021-01-30,1011010101,236.777
2021-01-31,1011010101,249.269
2021-02-01,1011010101,181.621
2021-02-02,1011010101,193.791
2021-02-03,1011010101,223.102
2021-02-04,1011010101,197.832
2021-02-05,1011010101,194.292
2021-02-06,1011010101,212.817
2021-02-07,1011010101,193.778
2021-02-08,1011010101,234.405
2021-02-09,1011010101,282.558
2021-02-10,1011010101,503.976
2021-02-11,1011010101,0.0
2021-02-12,1011010101,0.0
2021-02-13,1011010101,243.485
2021-02-14,1011010101,195.74
2021-02-15,1011010101,300.13
2021-02-16,1011010101,253.696
2021-02-17,1011010101,180.052
2021-02-18,1011010101,227.336
2021-02-19,1011010101,184.169
2021-02-20,1011010101,175.262
2021-02-21,1011010101,144.855
2021-02-22,1011010101,139.491
2021-02-23,1011010101,136.05
2021-02-24,1011010101,190.158
2021-02-25,1011010101,156.613
2021-02-26,1011010101,276.322
2021-02-27,1011010101,218.04
2021-02-28,1011010101,309.688
2021-03-01,1011010101,241.709
2021-03-02,1011010101,182.984
2021-03-03,1011010101,186.008
2021-03-04,1011010101,145.281
2021-03-05,1011010101,211.185
2021-03-06,1011010101,288.817
2021-03-07,1011010101,264.314
2021-03-08,1011010101,211.746
2021-03-09,1011010101,170.907
2021-03-10,1011010101,119.599
2021-03-11,1011010101,158.357
2021-03-12,1011010101,152.44
2021-03-13,1011010101,169.055
2021-03-14,1011010101,176.032
2021-03-15,1011010101,90.812
2021-03-16,1011010101,100.121
2021-03-17,1011010101,107.653
2021-03-18,1011010101,128.058
2021-03-19,1011010101,140.893
2021-03-20,1011010101,267.979
2021-03-21,1011010101,199.712
2021-03-22,1011010101,115.022
2021-03-23,1011010101,134.706
2021-03-24,1011010101,103.505
2021-03-25,1011010101,86.632
2021-03-26,1011010101,167.327
2021-03-27,1011010101,199.727
2021-03-28,1011010101,161.16400000000002
2021-03-29,1011010101,111.308
2021-03-30,1011010101,130.803
2021-03-31,1011010101,143.294
2021-04-01,1011010101,162.291
2021-04-02,1011010101,179.383
2021-04-03,1011010101,212.267
2021-04-04,1011010101,192.021
2021-04-05,1011010101,178.469
2021-04-06,1011010101,55.611
2021-04-07,1011010101,198.107
2021-04-08,1011010101,136.899
2021-04-09,1011010101,145.026
2021-04-10,1011010101,204.156
2021-04-11,1011010101,211.619
2021-04-12,1011010101,148.371
2021-04-13,1011010101,127.207
2021-04-14,1011010101,151.82999999999998
2021-04-15,1011010101,130.081
2021-04-16,1011010101,130.808
2021-04-17,1011010101,194.951
2021-04-18,1011010101,194.451
2021-04-19,1011010101,134.781
2021-04-20,1011010101,150.715
2021-04-21,1011010101,182.939
2021-04-22,1011010101,150.806
2021-04-23,1011010101,171.226
2021-04-24,1011010101,264.803
2021-04-25,1011010101,221.785
2021-04-26,1011010101,151.258
2021-04-27,1011010101,135.216
2021-04-28,1011010101,125.785
2021-04-29,1011010101,134.898
2021-04-30,1011010101,138.58499999999998
2021-05-01,1011010101,171.826
2021-05-02,1011010101,198.544
2021-05-03,1011010101,226.265
2021-05-04,1011010101,200.985
2021-05-05,1011010101,203.532
2021-05-06,1011010101,151.84
2021-05-07,1011010101,147.508
2021-05-08,1011010101,160.786
2021-05-09,1011010101,216.668
2021-05-10,1011010101,157.721
2021-05-11,1011010101,190.06
2021-05-12,1011010101,182.519
2021-05-13,1011010101,157.293
2021-05-14,1011010101,191.116
2021-05-15,1011010101,258.278
2021-05-16,1011010101,212.588
2021-05-17,1011010101,176.65800000000002
2021-05-18,1011010101,173.271
2021-05-19,1011010101,140.823
2021-05-20,1011010101,148.851
2021-05-21,1011010101,106.472
2021-05-22,1011010101,190.363
2021-05-23,1011010101,217.259
2021-05-24,1011010101,148.83100000000002
2021-05-25,1011010101,130.32500000000002
2021-05-26,1011010101,166.467
2021-05-27,1011010101,145.237
2021-05-28,1011010101,123.824
2021-05-29,1011010101,180.875
2021-05-30,1011010101,196.236
2021-05-31,1011010101,191.98
2021-06-01,1011010101,151.091
2021-06-02,1011010101,178.517
2021-06-03,1011010101,142.372
2021-06-04,1011010101,121.093
2021-06-05,1011010101,204.287
2021-06-06,1011010101,222.817
2021-06-07,1011010101,148.539
2021-06-08,1011010101,144.482
2021-06-09,1011010101,126.359
2021-06-10,1011010101,122.004
2021-06-11,1011010101,129.982
2021-06-12,1011010101,210.267
2021-06-13,1011010101,211.28
2021-06-14,1011010101,170.272
2021-06-15,1011010101,127.719
2021-06-16,1011010101,104.991
2021-06-17,1011010101,113.507
2021-06-18,1011010101,150.875
2021-06-19,1011010101,203.369
2021-06-20,1011010101,202.307
2021-06-21,1011010101,150.07
2021-06-22,1011010101,126.439
2021-06-23,1011010101,123.214
2021-06-24,1011010101,127.946
2021-06-25,1011010101,146.582
2021-06-26,1011010101,197.69
2021-06-27,1011010101,213.547
2021-06-28,1011010101,125.782
2021-06-29,1011010101,110.196
2021-06-30,1011010101,125.415
2021-07-01,1011010101,148.597
2021-07-02,1011010101,133.586
2021-07-03,1011010101,197.925
2021-07-04,1011010101,197.322
2021-07-05,1011010101,176.276
2021-07-06,1011010101,173.864
2021-07-07,1011010101,149.514
2021-07-08,1011010101,143.491
2021-07-09,1011010101,114.966
2021-07-10,1011010101,176.065
2021-07-11,1011010101,212.957
2021-07-12,1011010101,140.305
2021-07-13,1011010101,149.772
2021-07-14,1011010101,163.863
2021-07-15,1011010101,141.75
2021-07-16,1011010101,236.055
2021-07-17,1011010101,223.655
2021-07-18,1011010101,234.028
2021-07-19,1011010101,174.827
2021-07-20,1011010101,152.362
2021-07-21,1011010101,152.653
2021-07-22,1011010101,154.625
2021-07-23,1011010101,150.636
2021-07-24,1011010101,206.923
2021-07-25,1011010101,248.502
2021-07-26,1011010101,155.365
2021-07-27,1011010101,189.082
2021-07-28,1011010101,205.803
2021-07-29,1011010101,193.613
2021-07-30,1011010101,214.155
2021-07-31,1011010101,255.972
2021-08-01,1011010101,251.271
2021-08-02,1011010101,283.115
2021-08-03,1011010101,264.825
2021-08-04,1011010101,313.269
2021-08-05,1011010101,245.944
2021-08-06,1011010101,189.756
2021-08-07,1011010101,232.089
2021-08-08,1011010101,265.775
2021-08-09,1011010101,234.344
2021-08-10,1011010101,193.189
2021-08-11,1011010101,225.45
2021-08-12,1011010101,275.876
2021-08-13,1011010101,274.08
2021-08-14,1011010101,281.13
2021-08-15,1011010101,297.827
2021-08-16,1011010101,190.573
2021-08-17,1011010101,183.216
2021-08-18,1011010101,185.59
2021-08-19,1011010101,183.245
2021-08-20,1011010101,195.116
2021-08-21,1011010101,241.956
2021-08-22,1011010101,281.156
2021-08-23,1011010101,178.374
2021-08-24,1011010101,168.012
2021-08-25,1011010101,145.216
2021-08-26,1011010101,255.505
2021-08-27,1011010101,259.053
2021-08-28,1011010101,244.915
2021-08-29,1011010101,229.082
2021-08-30,1011010101,178.587
2021-08-31,1011010101,165.821
2021-09-01,1011010101,177.642
2021-09-02,1011010101,161.364
2021-09-03,1011010101,149.219
2021-09-04,1011010101,221.353
2021-09-05,1011010101,238.552
2021-09-06,1011010101,191.936
2021-09-07,1011010101,163.316
2021-09-08,1011010101,161.268
2021-09-09,1011010101,120.989
2021-09-10,1011010101,133.882
2021-09-11,1011010101,257.43
2021-09-12,1011010101,275.532
2021-09-13,1011010101,152.695
2021-09-14,1011010101,163.291
2021-09-15,1011010101,150.327
2021-09-16,1011010101,97.458
2021-09-17,1011010101,128.348
2021-09-18,1011010101,134.812
2021-09-19,1011010101,217.32
2021-09-20,1011010101,224.8
2021-09-21,1011010101,239.77
2021-09-22,1011010101,138.42000000000002
2021-09-23,1011010101,107.29
2021-09-24,1011010101,104.729
2021-09-25,1011010101,186.971
2021-09-26,1011010101,150.342
2021-09-27,1011010101,96.875
2021-09-28,1011010101,104.01
2021-09-29,1011010101,113.135
2021-09-30,1011010101,106.123
2021-10-01,1011010101,205.461
2021-10-02,1011010101,171.744
2021-10-03,1011010101,176.12300000000002
2021-10-04,1011010101,172.9
2021-10-05,1011010101,183.026
2021-10-06,1011010101,265.796
2021-10-07,1011010101,183.783
2021-10-08,1011010101,138.652
2021-10-09,1011010101,133.096
2021-10-10,1011010101,263.384
2021-10-11,1011010101,88.447
2021-10-12,1011010101,100.028
2021-10-13,1011010101,89.902
2021-10-14,1011010101,77.809
2021-10-15,1011010101,146.297
2021-10-16,1011010101,273.582
2021-10-17,1011010101,163.589
2021-10-18,1011010101,84.784
2021-10-19,1011010101,78.684
2021-10-20,1011010101,109.339
2021-10-21,1011010101,79.858
2021-10-22,1011010101,75.936
2021-10-23,1011010101,100.678
2021-10-24,1011010101,101.014
2021-10-25,1011010101,48.556
2021-10-26,1011010101,66.948
2021-10-27,1011010101,94.727
2021-10-28,1011010101,80.941
2021-10-29,1011010101,89.73
2021-10-30,1011010101,140.981
2021-10-31,1011010101,92.342
2021-11-01,1011010101,60.969
2021-11-02,1011010101,68.05499999999999
2021-11-03,1011010101,50.572
2021-11-04,1011010101,64.051
2021-11-05,1011010101,83.867
2021-11-06,1011010101,108.548
2021-11-07,1011010101,145.887
2021-11-08,1011010101,66.376
2021-11-09,1011010101,44.867
2021-11-10,1011010101,49.063
2021-11-11,1011010101,48.787
2021-11-12,1011010101,51.422
2021-11-13,1011010101,70.452
2021-11-14,1011010101,99.456
2021-11-15,1011010101,42.62
2021-11-16,1011010101,53.515
2021-11-17,1011010101,45.689
2021-11-18,1011010101,41.864
2021-11-19,1011010101,38.008
2021-11-20,1011010101,95.757
2021-11-21,1011010101,80.775
2021-11-22,1011010101,42.247
2021-11-23,1011010101,55.622
2021-11-24,1011010101,39.991
2021-11-25,1011010101,44.906
2021-11-26,1011010101,51.836
2021-11-27,1011010101,68.057
2021-11-28,1011010101,78.347
2021-11-29,1011010101,57.865
2021-11-30,1011010101,43.009
2021-12-01,1011010101,74.607
2021-12-02,1011010101,58.359
2021-12-03,1011010101,73.84700000000001
2021-12-04,1011010101,93.905
2021-12-05,1011010101,115.184
2021-12-06,1011010101,64.231
2021-12-07,1011010101,63.263
2021-12-08,1011010101,70.377
2021-12-09,1011010101,57.675
2021-12-10,1011010101,68.296
2021-12-11,1011010101,141.287
2021-12-12,1011010101,116.349
2021-12-13,1011010101,61.915
2021-12-14,1011010101,66.116
2021-12-15,1011010101,101.666
2021-12-16,1011010101,99.125
2021-12-17,1011010101,97.582
2021-12-18,1011010101,109.389
2021-12-19,1011010101,147.891
2021-12-20,1011010101,82.832
2021-12-21,1011010101,71.006
2021-12-22,1011010101,75.729
2021-12-23,1011010101,91.213
2021-12-24,1011010101,120.944
2021-12-25,1011010101,180.787
2021-12-26,1011010101,209.712
2021-12-27,1011010101,82.705
2021-12-28,1011010101,86.04299999999999
2021-12-29,1011010101,68.16499999999999
2021-12-30,1011010101,84.271
2021-12-31,1011010101,125.701
2022-01-01,1011010101,138.402
2022-01-02,1011010101,110.543
2022-01-03,1011010101,90.081
2022-01-04,1011010101,70.388
2022-01-05,1011010101,65.654
2022-01-06,1011010101,60.316
2022-01-07,1011010101,90.664
2022-01-08,1011010101,130.766
2022-01-09,1011010101,147.52800000000002
2022-01-10,1011010101,76.365
2022-01-11,1011010101,86.15
2022-01-12,1011010101,85.232
2022-01-13,1011010101,73.369
2022-01-14,1011010101,103.099
2022-01-15,1011010101,124.109
2022-01-16,1011010101,137.15
2022-01-17,1011010101,90.383
2022-01-18,1011010101,85.852
2022-01-19,1011010101,129.677
2022-01-20,1011010101,134.88
2022-01-21,1011010101,146.062
2022-01-22,1011010101,210.297
2022-01-23,1011010101,186.693
2022-01-24,1011010101,187.463
2022-01-25,1011010101,153.198
2022-01-26,1011010101,172.651
2022-01-27,1011010101,170.614
2022-01-28,1011010101,188.131
2022-01-29,1011010101,208.256
2022-01-30,1011010101,229.022
2022-01-31,1011010101,0.0
2022-02-01,1011010101,63.003
2022-02-02,1011010101,88.41199999999999
2022-02-03,1011010101,116.536
2022-02-04,1011010101,216.497
2022-02-05,1011010101,208.189
2022-02-06,1011010101,219.985
2022-02-07,1011010101,160.054
2022-02-08,1011010101,162.297
2022-02-09,1011010101,138.288
2022-02-10,1011010101,116.133
2022-02-11,1011010101,132.508
2022-02-12,1011010101,154.467
2022-02-13,1011010101,165.85
2022-02-14,1011010101,150.014
2022-02-15,1011010101,154.453
2022-02-16,1011010101,99.015
2022-02-17,1011010101,112.077
2022-02-18,1011010101,98.783
2022-02-19,1011010101,120.64
2022-02-20,1011010101,105.918
2022-02-21,1011010101,85.387
2022-02-22,1011010101,78.356
2022-02-23,1011010101,65.21
2022-02-24,1011010101,75.146
2022-02-25,1011010101,96.432
2022-02-26,1011010101,118.507
2022-02-27,1011010101,94.607
2022-02-28,1011010101,77.285
2022-03-01,1011010101,75.286
2022-03-02,1011010101,70.109
2022-03-03,1011010101,62.041
2022-03-04,1011010101,78.622
2022-03-05,1011010101,125.495
2022-03-06,1011010101,141.174
2022-03-07,1011010101,76.68599999999999
2022-03-08,1011010101,82.174
2022-03-09,1011010101,66.059
2022-03-10,1011010101,73.508
2022-03-11,1011010101,88.822
2022-03-12,1011010101,129.766
2022-03-13,1011010101,101.51
2022-03-14,1011010101,98.279
2022-03-15,1011010101,102.329
2022-03-16,1011010101,105.619
2022-03-17,1011010101,108.394
2022-03-18,1011010101,112.098
2022-03-19,1011010101,201.276
2022-03-20,1011010101,173.788
2022-03-21,1011010101,192.734
2022-03-22,1011010101,133.244
2022-03-23,1011010101,89.497
2022-03-24,1011010101,106.202
2022-03-25,1011010101,132.493
2022-03-26,1011010101,152.529
2022-03-27,1011010101,140.651
2022-03-28,1011010101,85.85
2022-03-29,1011010101,75.286
2022-03-30,1011010101,86.195
2022-03-31,1011010101,92.587
2022-04-01,1011010101,130.262
2022-04-02,1011010101,133.168
2022-04-03,1011010101,111.538
2022-04-04,1011010101,148.726
2022-04-05,1011010101,146.419
2022-04-06,1011010101,109.945
2022-04-07,1011010101,85.20100000000001
2022-04-08,1011010101,87.65
