销售日期,大类编码,销量(千克)
2020-07-01,1011010201,47.076
2020-07-02,1011010201,43.943
2020-07-03,1011010201,42.076
2020-07-04,1011010201,55.662
2020-07-05,1011010201,55.474
2020-07-06,1011010201,42.721
2020-07-07,1011010201,45.749
2020-07-08,1011010201,45.43300000000001
2020-07-09,1011010201,41.131
2020-07-10,1011010201,62.344
2020-07-11,1011010201,76.564
2020-07-12,1011010201,71.615
2020-07-13,1011010201,32.028
2020-07-14,1011010201,57.575
2020-07-15,1011010201,37.962
2020-07-16,1011010201,39.45
2020-07-17,1011010201,44.198
2020-07-18,1011010201,61.088
2020-07-19,1011010201,76.351
2020-07-20,1011010201,47.431
2020-07-21,1011010201,49.005
2020-07-22,1011010201,53.675
2020-07-23,1011010201,39.425
2020-07-24,1011010201,38.284000000000006
2020-07-25,1011010201,57.421
2020-07-26,1011010201,64.119
2020-07-27,1011010201,42.876000000000005
2020-07-28,1011010201,34.937
2020-07-29,1011010201,42.22
2020-07-30,1011010201,38.198
2020-07-31,1011010201,37.549
2020-08-01,1011010201,54.362
2020-08-02,1011010201,49.219
2020-08-03,1011010201,44.426
2020-08-04,1011010201,44.534000000000006
2020-08-05,1011010201,43.631
2020-08-06,1011010201,40.827
2020-08-07,1011010201,40.272000000000006
2020-08-08,1011010201,58.156000000000006
2020-08-09,1011010201,54.876
2020-08-10,1011010201,50.7
2020-08-11,1011010201,56.279
2020-08-12,1011010201,50.065
2020-08-13,1011010201,47.468
2020-08-14,1011010201,58.582
2020-08-15,1011010201,79.38
2020-08-16,1011010201,60.231
2020-08-17,1011010201,51.749
2020-08-18,1011010201,55.92
2020-08-19,1011010201,64.061
2020-08-20,1011010201,69.58699999999999
2020-08-21,1011010201,50.062
2020-08-22,1011010201,55.886
2020-08-23,1011010201,71.556
2020-08-24,1011010201,41.784
2020-08-25,1011010201,47.761
2020-08-26,1011010201,82.544
2020-08-27,1011010201,92.506
2020-08-28,1011010201,39.93
2020-08-29,1011010201,56.803
2020-08-30,1011010201,80.779
2020-08-31,1011010201,54.722
2020-09-01,1011010201,55.858
2020-09-02,1011010201,38.716
2020-09-03,1011010201,38.893
2020-09-04,1011010201,46.612
2020-09-05,1011010201,57.828
2020-09-06,1011010201,53.202
2020-09-07,1011010201,26.257
2020-09-08,1011010201,33.239
2020-09-09,1011010201,32.730000000000004
2020-09-10,1011010201,57.319
2020-09-11,1011010201,31.538
2020-09-12,1011010201,43.337
2020-09-13,1011010201,41.704
2020-09-14,1011010201,64.257
2020-09-15,1011010201,29.878
2020-09-16,1011010201,59.448
2020-09-17,1011010201,32.648
2020-09-18,1011010201,27.705
2020-09-19,1011010201,82.76
2020-09-20,1011010201,53.497
2020-09-21,1011010201,39.191
2020-09-22,1011010201,40.905
2020-09-23,1011010201,31.972
2020-09-24,1011010201,38.952
2020-09-25,1011010201,41.561
2020-09-26,1011010201,86.643
2020-09-27,1011010201,35.964
2020-09-28,1011010201,24.576
2020-09-29,1011010201,28.105
2020-09-30,1011010201,60.771
2020-10-01,1011010201,93.928
2020-10-02,1011010201,67.14500000000001
2020-10-03,1011010201,44.493
2020-10-04,1011010201,34.491
2020-10-05,1011010201,92.279
2020-10-06,1011010201,108.157
2020-10-07,1011010201,56.266000000000005
2020-10-08,1011010201,49.58
2020-10-09,1011010201,55.845
2020-10-10,1011010201,37.393
2020-10-11,1011010201,60.47
2020-10-12,1011010201,34.815
2020-10-13,1011010201,47.321
2020-10-14,1011010201,48.259
2020-10-15,1011010201,59.624
2020-10-16,1011010201,88.36099999999999
2020-10-17,1011010201,109.311
2020-10-18,1011010201,91.597
2020-10-19,1011010201,57.412
2020-10-20,1011010201,30.899
2020-10-21,1011010201,40.555
2020-10-22,1011010201,26.166
2020-10-23,1011010201,23.854
2020-10-24,1011010201,31.113
2020-10-25,1011010201,43.114
2020-10-26,1011010201,22.371
2020-10-27,1011010201,23.305
2020-10-28,1011010201,30.297
2020-10-29,1011010201,24.902
2020-10-30,1011010201,28.939
2020-10-31,1011010201,82.701
2020-11-01,1011010201,69.062
2020-11-02,1011010201,32.726
2020-11-03,1011010201,52.370000000000005
2020-11-04,1011010201,67.527
2020-11-05,1011010201,57.354
2020-11-06,1011010201,95.136
2020-11-07,1011010201,121.453
2020-11-08,1011010201,125.591
2020-11-09,1011010201,57.592
2020-11-10,1011010201,25.698
2020-11-11,1011010201,63.25
2020-11-12,1011010201,13.406
2020-11-13,1011010201,60.306
2020-11-14,1011010201,84.001
2020-11-15,1011010201,77.798
2020-11-16,1011010201,48.64
2020-11-17,1011010201,43.621
2020-11-18,1011010201,50.438
2020-11-19,1011010201,77.165
2020-11-20,1011010201,52.70099999999999
2020-11-21,1011010201,114.066
2020-11-22,1011010201,119.596
2020-11-23,1011010201,74.623
2020-11-24,1011010201,60.92700000000001
2020-11-25,1011010201,37.137
2020-11-26,1011010201,34.766000000000005
2020-11-27,1011010201,28.934
2020-11-28,1011010201,79.441
2020-11-29,1011010201,77.33500000000001
2020-11-30,1011010201,41.156000000000006
2020-12-01,1011010201,25.82
2020-12-02,1011010201,24.46
2020-12-03,1011010201,27.342
2020-12-04,1011010201,27.457
2020-12-05,1011010201,72.116
2020-12-06,1011010201,67.968
2020-12-07,1011010201,29.017
2020-12-08,1011010201,29.686
2020-12-09,1011010201,20.825
2020-12-10,1011010201,20.405
2020-12-11,1011010201,30.644
2020-12-12,1011010201,65.792
2020-12-13,1011010201,78.67
2020-12-14,1011010201,33.376000000000005
2020-12-15,1011010201,33.43
2020-12-16,1011010201,26.065
2020-12-17,1011010201,31.098
2020-12-18,1011010201,26.454
2020-12-19,1011010201,60.29
2020-12-20,1011010201,89.851
2020-12-21,1011010201,37.057
2020-12-22,1011010201,27.346
2020-12-23,1011010201,39.823
2020-12-24,1011010201,39.293
2020-12-25,1011010201,33.711
2020-12-26,1011010201,62.717
2020-12-27,1011010201,51.016000000000005
2020-12-28,1011010201,33.949
2020-12-29,1011010201,33.714
2020-12-30,1011010201,33.438
2020-12-31,1011010201,23.092
