销售日期,大类编码,销量(千克)
2020-07-01,1011010501,35.374
2020-07-02,1011010501,32.199
2020-07-03,1011010501,35.896
2020-07-04,1011010501,57.067
2020-07-05,1011010501,61.816
2020-07-06,1011010501,30.727000000000004
2020-07-07,1011010501,32.112
2020-07-08,1011010501,39.67
2020-07-09,1011010501,25.921
2020-07-10,1011010501,37.86
2020-07-11,1011010501,68.277
2020-07-12,1011010501,81.706
2020-07-13,1011010501,44.379
2020-07-14,1011010501,34.747
2020-07-15,1011010501,38.17
2020-07-16,1011010501,26.586
2020-07-17,1011010501,37.251000000000005
2020-07-18,1011010501,56.585
2020-07-19,1011010501,71.772
2020-07-20,1011010501,33.947
2020-07-21,1011010501,27.094
2020-07-22,1011010501,48.247
2020-07-23,1011010501,44.142
2020-07-24,1011010501,34.97
2020-07-25,1011010501,61.874
2020-07-26,1011010501,69.521
2020-07-27,1011010501,36.121
2020-07-28,1011010501,40.34
2020-07-29,1011010501,40.777
2020-07-30,1011010501,46.311
2020-07-31,1011010501,34.092
2020-08-01,1011010501,48.80499999999999
2020-08-02,1011010501,50.893
2020-08-03,1011010501,45.191
2020-08-04,1011010501,30.591
2020-08-05,1011010501,49.472
2020-08-06,1011010501,31.596
2020-08-07,1011010501,51.799
2020-08-08,1011010501,63.764
2020-08-09,1011010501,51.835
2020-08-10,1011010501,47.664
2020-08-11,1011010501,33.572
2020-08-12,1011010501,36.009
2020-08-13,1011010501,31.109
2020-08-14,1011010501,37.826
2020-08-15,1011010501,43.279
2020-08-16,1011010501,48.366
2020-08-17,1011010501,35.014
2020-08-18,1011010501,34.019000000000005
2020-08-19,1011010501,30.347
2020-08-20,1011010501,37.957
2020-08-21,1011010501,29.694
2020-08-22,1011010501,30.422
2020-08-23,1011010501,47.316
2020-08-24,1011010501,26.874
2020-08-25,1011010501,23.272
2020-08-26,1011010501,30.722
2020-08-27,1011010501,19.129
2020-08-28,1011010501,24.597
2020-08-29,1011010501,30.675
2020-08-30,1011010501,21.641
2020-08-31,1011010501,15.943
2020-09-01,1011010501,26.329
2020-09-02,1011010501,13.873
2020-09-03,1011010501,14.172
2020-09-04,1011010501,20.233
2020-09-05,1011010501,33.731
2020-09-06,1011010501,33.397
2020-09-07,1011010501,17.365000000000002
2020-09-08,1011010501,20.623
2020-09-09,1011010501,12.041
2020-09-10,1011010501,16.916
2020-09-11,1011010501,22.019
2020-09-12,1011010501,21.411
2020-09-13,1011010501,28.737
2020-09-14,1011010501,16.134
2020-09-15,1011010501,13.243
2020-09-16,1011010501,15.194
2020-09-17,1011010501,22.924
2020-09-18,1011010501,13.805
2020-09-19,1011010501,30.406
2020-09-20,1011010501,41.474
2020-09-21,1011010501,20.868
2020-09-22,1011010501,25.819000000000003
2020-09-23,1011010501,22.515
2020-09-24,1011010501,18.9
2020-09-25,1011010501,26.529
2020-09-26,1011010501,33.517
2020-09-27,1011010501,20.532
2020-09-28,1011010501,18.401
2020-09-29,1011010501,24.719
2020-09-30,1011010501,25.865
2020-10-01,1011010501,32.482
2020-10-02,1011010501,38.762
2020-10-03,1011010501,63.535
2020-10-04,1011010501,43.849
2020-10-05,1011010501,31.128
2020-10-06,1011010501,42.318
2020-10-07,1011010501,29.085
2020-10-08,1011010501,33.49
2020-10-09,1011010501,24.289
2020-10-10,1011010501,26.814
2020-10-11,1011010501,34.726
2020-10-12,1011010501,17.875999999999998
2020-10-13,1011010501,23.119
2020-10-14,1011010501,13.742
2020-10-15,1011010501,19.447
2020-10-16,1011010501,20.139
2020-10-17,1011010501,30.556
2020-10-18,1011010501,36.361
2020-10-19,1011010501,20.03
2020-10-20,1011010501,13.777
2020-10-21,1011010501,15.327
2020-10-22,1011010501,14.725
2020-10-23,1011010501,14.427
2020-10-24,1011010501,22.221
2020-10-25,1011010501,30.136
2020-10-26,1011010501,10.797
2020-10-27,1011010501,13.444
2020-10-28,1011010501,12.238
2020-10-29,1011010501,14.436
2020-10-30,1011010501,12.192
2020-10-31,1011010501,16.499000000000002
2020-11-01,1011010501,15.407
2020-11-02,1011010501,11.378
2020-11-03,1011010501,10.846
2020-11-04,1011010501,10.702
2020-11-05,1011010501,9.067
2020-11-06,1011010501,7.22
2020-11-07,1011010501,10.878
2020-11-08,1011010501,16.906
2020-11-09,1011010501,10.063
2020-11-10,1011010501,9.574
2020-11-11,1011010501,15.585
2020-11-12,1011010501,15.508
2020-11-13,1011010501,8.044
2020-11-14,1011010501,18.146
2020-11-15,1011010501,18.318
2020-11-16,1011010501,15.672
2020-11-17,1011010501,12.224
2020-11-18,1011010501,15.946
2020-11-19,1011010501,12.808
2020-11-20,1011010501,9.804
2020-11-21,1011010501,25.451
