销售日期,大类编码,销量(千克)
2020-07-01,1011010801,35.364999999999995
2020-07-02,1011010801,48.510000000000005
2020-07-03,1011010801,42.44199999999999
2020-07-04,1011010801,47.262
2020-07-05,1011010801,73.213
2020-07-06,1011010801,40.578
2020-07-07,1011010801,52.56
2020-07-08,1011010801,43.968
2020-07-09,1011010801,37.837
2020-07-10,1011010801,41.429
2020-07-11,1011010801,52.238
2020-07-12,1011010801,55.96
2020-07-13,1011010801,42.113
2020-07-14,1011010801,44.836
2020-07-15,1011010801,42.196
2020-07-16,1011010801,53.685
2020-07-17,1011010801,51.908
2020-07-18,1011010801,71.884
2020-07-19,1011010801,80.322
2020-07-20,1011010801,52.617
2020-07-21,1011010801,45.905
2020-07-22,1011010801,66.794
2020-07-23,1011010801,56.759
2020-07-24,1011010801,49.201
2020-07-25,1011010801,67.013
2020-07-26,1011010801,71.295
2020-07-27,1011010801,52.777
2020-07-28,1011010801,47.728
2020-07-29,1011010801,54.315
2020-07-30,1011010801,50.774
2020-07-31,1011010801,45.587
2020-08-01,1011010801,53.797
2020-08-02,1011010801,54.961
2020-08-03,1011010801,48.575
2020-08-04,1011010801,45.301
2020-08-05,1011010801,62.84
2020-08-06,1011010801,48.611
2020-08-07,1011010801,68.177
2020-08-08,1011010801,92.144
2020-08-09,1011010801,73.07300000000001
2020-08-10,1011010801,36.094
2020-08-11,1011010801,40.017
2020-08-12,1011010801,34.195
2020-08-13,1011010801,35.65
2020-08-14,1011010801,53.795
2020-08-15,1011010801,58.015
2020-08-16,1011010801,55.093
2020-08-17,1011010801,47.418
2020-08-18,1011010801,45.716
2020-08-19,1011010801,50.126
2020-08-20,1011010801,54.411
2020-08-21,1011010801,50.0
2020-08-22,1011010801,49.895
2020-08-23,1011010801,55.226
2020-08-24,1011010801,39.576
2020-08-25,1011010801,54.488
2020-08-26,1011010801,42.811
2020-08-27,1011010801,50.458
2020-08-28,1011010801,55.659
2020-08-29,1011010801,62.431
2020-08-30,1011010801,73.195
2020-08-31,1011010801,44.776
2020-09-01,1011010801,47.282
2020-09-02,1011010801,51.011
2020-09-03,1011010801,48.163
2020-09-04,1011010801,54.43
2020-09-05,1011010801,62.594
2020-09-06,1011010801,78.472
2020-09-07,1011010801,41.804
2020-09-08,1011010801,32.389
2020-09-09,1011010801,33.45
2020-09-10,1011010801,35.789
2020-09-11,1011010801,48.467
2020-09-12,1011010801,73.173
2020-09-13,1011010801,74.834
2020-09-14,1011010801,31.147
2020-09-15,1011010801,41.578
2020-09-16,1011010801,35.413
2020-09-17,1011010801,39.259
2020-09-18,1011010801,38.541
2020-09-19,1011010801,60.52
2020-09-20,1011010801,50.42
2020-09-21,1011010801,63.529
2020-09-22,1011010801,49.058
2020-09-23,1011010801,56.265
2020-09-24,1011010801,61.336
2020-09-25,1011010801,64.509
2020-09-26,1011010801,94.495
2020-09-27,1011010801,72.522
2020-09-28,1011010801,46.913
2020-09-29,1011010801,45.485
2020-09-30,1011010801,110.358
2020-10-01,1011010801,103.929
2020-10-02,1011010801,89.316
2020-10-03,1011010801,60.052
2020-10-04,1011010801,122.501
2020-10-05,1011010801,126.518
2020-10-06,1011010801,124.059
2020-10-07,1011010801,80.421
2020-10-08,1011010801,328.488
2020-10-09,1011010801,57.258
2020-10-10,1011010801,75.63000000000001
2020-10-11,1011010801,163.664
2020-10-12,1011010801,102.385
2020-10-13,1011010801,48.021
2020-10-14,1011010801,73.831
2020-10-15,1011010801,72.91
2020-10-16,1011010801,69.80499999999999
2020-10-17,1011010801,115.896
2020-10-18,1011010801,113.125
2020-10-19,1011010801,58.338
2020-10-20,1011010801,45.419
2020-10-21,1011010801,56.114
2020-10-22,1011010801,94.688
2020-10-23,1011010801,115.306
2020-10-24,1011010801,115.39
2020-10-25,1011010801,104.16
2020-10-26,1011010801,62.363
2020-10-27,1011010801,56.508
2020-10-28,1011010801,75.211
2020-10-29,1011010801,81.051
2020-10-30,1011010801,74.23
2020-10-31,1011010801,135.284
2020-11-01,1011010801,127.967
2020-11-02,1011010801,78.321
2020-11-03,1011010801,65.34100000000001
2020-11-04,1011010801,195.34
2020-11-05,1011010801,129.089
2020-11-06,1011010801,80.588
2020-11-07,1011010801,122.896
2020-11-08,1011010801,124.492
2020-11-09,1011010801,63.22
2020-11-10,1011010801,64.18
2020-11-11,1011010801,64.52199999999999
2020-11-12,1011010801,68.656
2020-11-13,1011010801,67.676
2020-11-14,1011010801,92.793
2020-11-15,1011010801,73.108
2020-11-16,1011010801,54.363
2020-11-17,1011010801,131.979
2020-11-18,1011010801,99.089
2020-11-19,1011010801,90.297
2020-11-20,1011010801,70.888
2020-11-21,1011010801,169.382
2020-11-22,1011010801,160.154
2020-11-23,1011010801,195.788
2020-11-24,1011010801,117.661
2020-11-25,1011010801,95.581
2020-11-26,1011010801,110.276
2020-11-27,1011010801,112.979
2020-11-28,1011010801,187.133
2020-11-29,1011010801,168.218
2020-11-30,1011010801,100.486
2020-12-01,1011010801,99.477
2020-12-02,1011010801,185.141
2020-12-03,1011010801,97.395
2020-12-04,1011010801,110.875
2020-12-05,1011010801,155.115
2020-12-06,1011010801,234.205
2020-12-07,1011010801,91.333
2020-12-08,1011010801,89.028
2020-12-09,1011010801,80.164
2020-12-10,1011010801,89.363
2020-12-11,1011010801,94.153
2020-12-12,1011010801,174.431
2020-12-13,1011010801,197.615
2020-12-14,1011010801,83.089
2020-12-15,1011010801,99.925
2020-12-16,1011010801,74.212
2020-12-17,1011010801,94.652
2020-12-18,1011010801,86.25999999999999
2020-12-19,1011010801,154.68099999999998
2020-12-20,1011010801,142.972
2020-12-21,1011010801,84.045
2020-12-22,1011010801,76.199
2020-12-23,1011010801,67.604
2020-12-24,1011010801,76.09
2020-12-25,1011010801,148.943
2020-12-26,1011010801,136.159
2020-12-27,1011010801,118.129
2020-12-28,1011010801,69.819
2020-12-29,1011010801,79.647
2020-12-30,1011010801,66.631
2020-12-31,1011010801,120.945
2021-01-01,1011010801,136.338
2021-01-02,1011010801,115.296
2021-01-03,1011010801,103.871
2021-01-04,1011010801,95.499
2021-01-05,1011010801,83.705
2021-01-06,1011010801,81.462
2021-01-07,1011010801,96.002
2021-01-08,1011010801,90.415
2021-01-09,1011010801,129.833
2021-01-10,1011010801,137.986
2021-01-11,1011010801,81.67
2021-01-12,1011010801,73.283
2021-01-13,1011010801,76.684
2021-01-14,1011010801,75.963
2021-01-15,1011010801,101.383
2021-01-16,1011010801,150.015
2021-01-17,1011010801,141.492
2021-01-18,1011010801,72.532
2021-01-19,1011010801,74.431
