销售日期,大类编码,销量(千克)
2020-07-01,1011010402,332.25600000000003
2020-08-01,1011010402,867.1800000000001
2020-09-01,1011010402,798.931
2020-10-01,1011010402,1344.1180000000002
2020-11-01,1011010402,961.823
2020-12-01,1011010402,1898.646
2021-01-01,1011010402,1922.91
2021-02-01,1011010402,1961.572
2021-03-01,1011010402,904.5
2021-04-01,1011010402,524.278
2021-05-01,1011010402,309.117
2021-06-01,1011010402,328.498
2021-07-01,1011010402,543.799
2021-08-01,1011010402,1116.687
2021-09-01,1011010402,1404.331
2021-10-01,1011010402,1486.957
2021-11-01,1011010402,1275.486
2021-12-01,1011010402,1332.336
2022-01-01,1011010402,2031.8
2022-02-01,1011010402,958.331
2022-03-01,1011010402,834.179
2022-04-01,1011010402,329.475
2022-05-01,1011010402,157.828
2022-06-01,1011010402,359.186
2022-07-01,1011010402,1864.482
2022-08-01,1011010402,2524.01
2022-09-01,1011010402,1569.923
2022-10-01,1011010402,2107.189
2022-11-01,1011010402,1354.753
2022-12-01,1011010402,1670.01
2023-01-01,1011010402,2137.564
2023-02-01,1011010402,1145.18
2023-03-01,1011010402,777.3969999999999
2023-04-01,1011010402,541.766
2023-05-01,1011010402,420.267
2023-06-01,1011010402,510.787
