销售日期,大类编码,销量(千克)
2020-07-01,1011010101,6600.71
2020-08-01,1011010101,7261.517
2020-09-01,1011010101,5671.452
2020-10-01,1011010101,6397.141
2020-11-01,1011010101,6519.819
2020-12-01,1011010101,6901.719
2021-01-01,1011010101,6412.193
2021-02-01,1011010101,5749.259
2021-03-01,1011010101,5067.150000000001
2021-04-01,1011010101,4916.345
2021-05-01,1011010101,5465.001
2021-06-01,1011010101,4633.011
2021-07-01,1011010101,5568.509
2021-08-01,1011010101,7113.357
2021-09-01,1011010101,4869.199
2021-10-01,1011010101,4078.137
2021-11-01,1011010101,1892.48
2021-12-01,1011010101,2960.172
2022-01-01,1011010101,3882.995
2022-02-01,1011010101,3474.049
2022-03-01,1011010101,3360.303
2022-04-01,1011010101,3493.077
2022-05-01,1011010101,3413.29
2022-06-01,1011010101,4003.872
2022-07-01,1011010101,5229.719
2022-08-01,1011010101,10141.162
2022-09-01,1011010101,8197.858
2022-10-01,1011010101,8764.014
2022-11-01,1011010101,6532.104
2022-12-01,1011010101,6659.4400000000005
2023-01-01,1011010101,7562.463
2023-02-01,1011010101,5348.792
2023-03-01,1011010101,5488.123
2023-04-01,1011010101,5144.368
2023-05-01,1011010101,5226.556
2023-06-01,1011010101,4660.197
