销售日期,大类编码,销量(千克)
2020-07-01,1011010201,1523.58
2020-08-01,1011010201,1748.658
2020-09-01,1011010201,1336.066
2020-10-01,1011010201,1644.9630000000002
2020-11-01,1011010201,1943.816
2020-12-01,1011010201,1235.922
2021-01-01,1011010201,1262.447
2021-02-01,1011010201,1501.211
2021-03-01,1011010201,1166.2620000000002
2021-04-01,1011010201,1380.398
2021-05-01,1011010201,1108.386
2021-06-01,1011010201,1224.572
2021-07-01,1011010201,1447.634
2021-08-01,1011010201,722.804
2021-09-01,1011010201,779.484
2021-10-01,1011010201,743.96
2021-11-01,1011010201,600.931
2021-12-01,1011010201,763.772
2022-01-01,1011010201,1358.424
2022-02-01,1011010201,903.602
2022-03-01,1011010201,511.929
2022-04-01,1011010201,437.43
2022-05-01,1011010201,770.68
2022-06-01,1011010201,737.248
2022-07-01,1011010201,1500.031
2022-08-01,1011010201,2455.441
2022-09-01,1011010201,1478.6
2022-10-01,1011010201,1522.763
2022-11-01,1011010201,1339.7910000000002
2022-12-01,1011010201,1147.225
2023-01-01,1011010201,1483.087
2023-02-01,1011010201,1032.512
2023-03-01,1011010201,901.593
2023-04-01,1011010201,715.518
2023-05-01,1011010201,825.848
2023-06-01,1011010201,533.189
