销售日期,大类编码,销量(千克)
2020-07-01,1011010501,1365.551
2020-08-01,1011010501,1139.393
2020-09-01,1011010501,671.692
2020-10-01,1011010501,771.967
2020-11-01,1011010501,433.272
2020-12-01,1011010501,408.995
2021-01-01,1011010501,501.591
2021-02-01,1011010501,877.1940000000001
2021-03-01,1011010501,615.974
2021-04-01,1011010501,619.437
2021-05-01,1011010501,723.611
2021-06-01,1011010501,821.7429999999999
2021-07-01,1011010501,967.582
2021-08-01,1011010501,968.499
2021-09-01,1011010501,741.438
2021-10-01,1011010501,472.279
2021-11-01,1011010501,250.963
2021-12-01,1011010501,238.36
2022-01-01,1011010501,637.644
2022-02-01,1011010501,606.559
2022-03-01,1011010501,500.686
2022-04-01,1011010501,617.922
2022-05-01,1011010501,993.728
2022-06-01,1011010501,977.832
2022-07-01,1011010501,567.788
2022-08-01,1011010501,628.297
2022-09-01,1011010501,105.318
2022-10-01,1011010501,157.899
2022-11-01,1011010501,252.964
2022-12-01,1011010501,213.106
2023-01-01,1011010501,660.727
2023-02-01,1011010501,366.492
2023-03-01,1011010501,444.795
2023-04-01,1011010501,591.3389999999999
2023-05-01,1011010501,760.167
2023-06-01,1011010501,769.315
