销售日期,大类编码,销量(千克)
2020-07-01,1011010504,2201.19
2020-08-01,1011010504,2822.514
2020-09-01,1011010504,1992.413
2020-10-01,1011010504,1909.822
2020-11-01,1011010504,1838.135
2020-12-01,1011010504,1428.131
2021-01-01,1011010504,1920.03
2021-02-01,1011010504,3824.593
2021-03-01,1011010504,2576.283
2021-04-01,1011010504,1957.177
2021-05-01,1011010504,2296.274
2021-06-01,1011010504,1936.795
2021-07-01,1011010504,1603.458
2021-08-01,1011010504,2041.438
2021-09-01,1011010504,1496.247
2021-10-01,1011010504,1613.237
2021-11-01,1011010504,804.0
2021-12-01,1011010504,1187.333
2022-01-01,1011010504,3101.087
2022-02-01,1011010504,2251.411
2022-03-01,1011010504,2380.321
2022-04-01,1011010504,2194.028
2022-05-01,1011010504,1537.931
2022-06-01,1011010504,1291.831
2022-07-01,1011010504,2335.506
2022-08-01,1011010504,5023.004
2022-09-01,1011010504,3271.593
2022-10-01,1011010504,4426.665
2022-11-01,1011010504,3520.4880000000003
2022-12-01,1011010504,3368.337
2023-01-01,1011010504,5184.314
2023-02-01,1011010504,3608.985
2023-03-01,1011010504,3959.196
2023-04-01,1011010504,3241.117
2023-05-01,1011010504,2784.295
2023-06-01,1011010504,2715.933
