销售日期,大类编码,销量(千克)
2020-07-01,1011010801,1619.071
2020-08-01,1011010801,1636.524
2020-09-01,1011010801,1643.206
2020-10-01,1011010801,3001.871
2020-11-01,1011010801,3282.463
2020-12-01,1011010801,3478.297
2021-01-01,1011010801,3043.698
2021-02-01,1011010801,3693.482
2021-03-01,1011010801,2246.831
2021-04-01,1011010801,1379.944
2021-05-01,1011010801,1164.387
2021-06-01,1011010801,1122.852
2021-07-01,1011010801,1103.741
2021-08-01,1011010801,1580.143
2021-09-01,1011010801,1374.986
2021-10-01,1011010801,1511.298
2021-11-01,1011010801,1641.277
2021-12-01,1011010801,2071.788
2022-01-01,1011010801,2248.856
2022-02-01,1011010801,1292.039
2022-03-01,1011010801,784.754
2022-04-01,1011010801,822.434
2022-05-01,1011010801,762.225
2022-06-01,1011010801,1071.716
2022-07-01,1011010801,1792.005
2022-08-01,1011010801,2081.588
2022-09-01,1011010801,2045.217
2022-10-01,1011010801,4034.679
2022-11-01,1011010801,3236.025
2022-12-01,1011010801,3190.87
2023-01-01,1011010801,4534.745
2023-02-01,1011010801,2608.9480000000003
2023-03-01,1011010801,2700.63
2023-04-01,1011010801,2482.043
2023-05-01,1011010801,2128.108
2023-06-01,1011010801,1718.985
