价格（元）,销售重量（kg）
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
6.0,0.0
6.0,0.0
6.0,0.0
6.0,0.0
6.0,0.0
6.0,0.0
6.0,0.0
6.0,0.0
6.0,0.0
6.0,0.0
6.0,0.0
6.4,0.0
6.4,0.0
6.6,0.0
6.6,0.0
7.0,0.0
7.0,0.0
7.0,0.0
7.0,0.0
7.0,0.0
7.0,0.0
7.0,0.0
7.2,0.0
7.2,0.0
7.2,0.0
7.2,0.0
7.2,0.0
7.6,0.0
7.6,0.0
7.6,0.0
7.9863634,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,3.2061550765706257
8.0,3.2061550765706257
8.0,3.2061550765706257
8.0,3.2061550765706257
8.0,3.2061550765706257
8.0,3.2061550765706257
8.0,3.2061550765706257
8.0,3.2061550765706257
8.0,3.2061550765706257
8.0,3.2061550765706257
8.057143,3.2061550765706257
8.125,3.2061550765706257
8.129032,3.2061550765706257
8.130909,3.2061550765706257
8.163265,3.2061550765706257
8.190909,3.2061550765706257
8.2,3.2061550765706257
8.2,3.2061550765706257
8.205129,3.2061550765706257
8.222222,3.2061550765706257
8.229508,3.2061550765706257
8.266666,3.2061550765706257
8.32653,3.2061550765706257
8.357142,3.2061550765706257
8.408163,3.2061550765706257
8.6,3.2061550765706257
8.6,3.2061550765706257
8.6,3.2061550765706257
8.6,3.2061550765706257
8.6,3.2061550765706257
8.8,3.2061550765706257
8.8,3.2061550765706257
9.0,3.2061550765706257
9.0,3.2061550765706257
9.0,3.2061550765706257
9.0,3.2061550765706257
9.0,3.2061550765706257
9.0,3.2061550765706257
